"tract","Name","Employment_Rate_rP_gP_p75"
24510151000,"Dorchester, Baltimore, MD",0.7857
24510271802,"Langston Hughes, Baltimore, MD",0.7857
24025302902,"Aberdeen, MD",0.7856
24033800109,"Laurel, MD",0.7848
24003751500,"Laurel, MD",0.7842
24005490703,"Towson, MD",0.7842
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.7841
24003702702,"Annapolis, MD",0.7832
24005421000,"Dundalk, MD",0.7828
24003702100,"Crownsville, MD",0.7827
24510160801,"Edmondson, Baltimore, MD",0.7826
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.7825
24005402509,"Owings Mills, MD",0.7825
24510271001,"Baltimore, MD",0.782
24510270401,"Glenham-Belford, Baltimore, MD",0.7819
24005420800,"Dundalk, MD",0.7818
24510150400,"Mondawmin, Baltimore, MD",0.7818
24510080200,"Broadway East, Baltimore, MD",0.7815
24003730505,"South Gate, Glen Burnie, MD",0.7808
24005430900,"Baltimore, MD",0.7805
24005402201,"Randallstown, MD",0.7803
24027606707,"Columbia, MD",0.7803
24031701417,"Silver Spring, MD",0.7801
24510260302,"Belair - Edison, Baltimore, MD",0.7798
24003741000,"Severn, MD",0.7796
24510090500,"Better Waverly, Baltimore, MD",0.7794
24013504100,"Finksburg, MD",0.7793
24510250401,"Brooklyn, Baltimore, MD",0.7793
24005440702,"Rosedale, MD",0.7789
24005400600,"Catonsville, MD",0.7785
24510170300,"Upton, Baltimore, MD",0.7784
24510270501,"Woodring, Baltimore, MD",0.7783
24005450504,"Essex, MD",0.778
24510260301,"Belair - Edison, Baltimore, MD",0.7777
24510150701,"Hanlon Longwood, Baltimore, MD",0.7774
24510150702,"Walbrook, Baltimore, MD",0.7773
24005402504,"Randallstown, MD",0.7772
24033807410,"Beltsville, MD",0.7772
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.7763
24027601204,"Elkridge, MD",0.776
24510230300,"South Baltimore, Baltimore, MD",0.7756
24005490400,"Towson, MD",0.775
24005402602,"Randallstown, MD",0.7747
24510260101,"Cedmont, Baltimore, MD",0.7743
24005490500,"Towson, MD",0.7741
24005401102,"Gwynn Oak, Woodlawn, MD",0.7738
24510120202,"Baltimore, MD",0.7729
24003740102,"Hanover, MD",0.7725
24510070300,"Milton - Montford, Baltimore, MD",0.7723
24005420401,"Dundalk, MD",0.7716
24510120500,"Greenmount West, Baltimore, MD",0.7714
24510240400,"Riverside Park, Baltimore, MD",0.7712
24510250301,"Westport, Baltimore, MD",0.7702
24510140100,"Bolton Hill, Baltimore, MD",0.7701
24005490900,"Towson, MD",0.77
24510270805,"Mid-Govans, Baltimore, MD",0.7695
24510130300,"Penn North, Baltimore, MD",0.7687
24005403500,"Pikesville, MD",0.7685
24510200100,"Lexington, Baltimore, MD",0.7681
24510150200,"Sandtown-Winchester, Baltimore, MD",0.7678
24005400701,"Catonsville, MD",0.7678
24027601203,"Elkridge, MD",0.7677
24005400100,"Catonsville, MD",0.7676
24031701422,"Silver Spring, MD",0.7673
24005421102,"Dundalk, MD",0.7665
24005402406,"Windsor Mill, Milford Mill, MD",0.7658
24033806714,"Greenbelt, MD",0.7646
24003750202,"Brooklyn Park, MD",0.7643
24005450501,"Essex, MD",0.7634
24005451402,"Middle River, MD",0.7632
24510160600,"Mosher, Baltimore, MD",0.7621
24510260403,"Cedonia, Baltimore, MD",0.7618
24013514202,"Eldersburg, MD",0.7611
24510280301,"Gwynn Oak, Baltimore, MD",0.7604
24510160802,"Edmondson, Baltimore, MD",0.76
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.7599
24025301402,"Harford County, MD",0.7594
24510190100,"Franklin Square, Baltimore, MD",0.7586
24005403202,"Gwynn Oak, Baltimore, MD",0.758
24003750101,"Brooklyn Park, MD",0.7576
24005452300,"Baltimore, MD",0.7563
